issu,act,ctxt,key,summ,area,date
System of accountability for principal officials,,Establishment Subcommittee,35157,"ESC endorsed the proposals to -
<table>
<tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">create one permanent post of Administrative Officer Staff Grade C (D2)/non-civil service position at D2-equivalent in the Environment, Transport and Works Bureau of Government Secretariat with effect from 1.1.03 as Administrative Assistant to Secretary for the Environment, Transport and Works; to be offset by deletion of one permanent post of Administrative Officer Staff Grade C (D2) in the Transport Sub-branch [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e02-8e.pdf"" target=""_blank"">Paper</a>]; and
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">create one permanent post of Administrative Officer Staff Grade C/non-civil service position at D2-equivalent (D2) permanent post to be offset by deletion of the deletion of 1 Administrative Officer Staff Grade C (D2) with effect from 1.1.03 as Administrative Assistant to Secretary for Commerce, Industry and Technology. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e02-9e.pdf"" target=""_blank"">Paper</a>]
</td></tr></table>",Constitutional Affairs,11.12.02
System of accountability for principal officials,,Council Question,35158,"Hon Emily LAU raised a written question on ""Use of flight awards earned from government passages."" [<a href=""http://www.legco.gov.hk/yr02-03/english/counmtg/hansard/cm1211ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 70""]",Constitutional Affairs,11.12.02
System of accountability for principal officials,,Finance Committee,35159,"FC approved the Administration's proposals endorsed by ESC on 11.12.02. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/fc/papers/f02-46e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,20.12.02
System of accountability for principal officials,,Constitutional Affairs Panel,35160,"CA Panel discussed the Administration's six-month report on the implementation of the accountability system for principal officials. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0120cb2-930-1e.pdf"" target=""_blank"">Paper</a>]
<br /><br />The LegCo Secretariat prepared a background brief to highlight the issues previously raised by Members and summarize the developments subsequent to the implementation of the accountability system on 1.7.02. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0721cb2-2864-2e.pdf"" target=""_blank"">Paper</a>]
<br /><br />CA Panel also discussed the Administration's paper on attendance of principal officials at committee meetings of LegCo. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca1216cb2-654-2e.pdf"" target=""_blank"">Paper</a>]
<br /><br />The LegCo Secretariat prepared a background brief on ""Arrangements during principal official's temporary absence and attendance of principal officials at meetings of LegCo"". [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca1216cb2-654-3e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,17.2.03
System of accountability for principal officials,,Establishment Subcommittee,35161,"ESC endorsed the proposal to -
<table>
<tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">delete 1 Chief Estate Surveyor (D1) in the Lands Department and 1 Government Town Planner (D2) and 1 Chief Town Planner (D1) in the Planning Department with retrospective effect from 8.2.03. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e02-11e.pdf"" target=""_blank"">Paper</a>]; and
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">merge Government Land Transport Agency, Government Supplies Department and Printing Department into a new department named Government Logistics Department with effect from 1.7.03.  [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e02-10e.pdf"" target=""_blank"">Paper</a>]
</td></tr></table>",Constitutional Affairs,19.2.03
System of accountability for principal officials,,Finance Committee,35162,"FC approved the Administration's proposals endorsed by ESC on 19.2.03. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/fc/papers/f02-61e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,7.3.03
System of accountability for principal officials,,Constitutional Affairs Panel,35163,CA Panel discussed prevention of conflict of interest and related issues arising from the incident of the FS purchasing a vehicle shortly before the announcement of the increase in motor first registration tax.,Constitutional Affairs,17.3.03
System of accountability for principal officials,,House Committee,35164,HC discussed how to follow up the incident of FS.,Constitutional Affairs,21.3.03
System of accountability for principal officials,,Council Motion,35165,"Dr Hon YEUNG Sum moved a motion seeking the appointment of a select committee and powers conferred by the Legislative Counicl (Powers and Privileges) Ordinance for the select committee to inquire into the incident of FS and related matters.  The motion was negatived. [<a href=""http://www.legco.gov.hk/yr02-03/english/counmtg/hansard/cm0409ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 186""]",Constitutional Affairs,9.4.03
System of accountability for principal officials,,Council Question,35166,"Hon CHEUNG Man-kwong raised an oral question on ""Procedure for resignation of principal officials"". [<a href=""http://www.legco.gov.hk/yr02-03/english/counmtg/hansard/cm0430ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 25""]",Constitutional Affairs,30.4.03
